config_name,embedder,sim_threshold,avg_rouge1,avg_rouge2,avg_rougeL,avg_rouge_l2,avg_time,n_articles
SBERT (Optimal),sbert,0.3,0.3123972740095959,0.10535975895585661,0.1871661511646959,0.3842380990992308,0.12419070482254028,100
No Sent-Sent Edges,sbert,0.3,0.24292702155312643,0.06322877625308787,0.14816985081365786,0.2957041983362199,0.051128671169281006,100
No Sent-Name Edges,sbert,0.3,0.3224645288459871,0.1110001781379238,0.1992981877884571,0.40017940708237526,0.05172703266143799,100
No Name-Name Edges,sbert,0.3,0.2943277014312952,0.09587693187286267,0.17958192311299623,0.3628063818543011,0.04954710245132446,100
Only Sent-Sent Edges,sbert,0.3,0.3224645288459871,0.1110001781379238,0.1994904954807648,0.40029145513413894,0.03881611347198486,100
TFIDF Baseline,tfidf,0.1,0.28563567266776707,0.09353626804443768,0.17738320636364857,0.3534340657823072,0.033770484924316405,100
BOW Baseline,bow,0.1,0.30108121086596334,0.09952274394000592,0.18164489182435187,0.3701397908153995,0.03077059030532837,100
