config_name,description,embedder,sim_threshold,use_sent_sent,use_sent_name,use_name_name,avg_rouge1,avg_rouge2,avg_rougeL,avg_rouge_l2,std_rouge1,std_rouge2,std_rougeL,std_rouge_l2,avg_time,std_time,n_articles,success_rate,timestamp
Full Model (SBERT),Complete model with all graph components using SBERT embeddings,sbert,0.3,True,True,True,0.313002093319763,0.10554616194447734,0.18753183408546556,0.384850221043425,0.1113160039235143,0.0911018068860321,0.08601216708767297,0.15574878399707137,0.09987807750701905,0.4518859993550908,100,1.0,2025-10-13 12:34:25
No Sentence-Sentence Edges,Ablated: Semantic similarity relationships between sentences,sbert,0.3,False,True,True,0.23687159559379356,0.061782949268701676,0.14572015181533912,0.2891268365409402,0.11333381685351207,0.07526885243135531,0.08263755868081053,0.15134147134888556,0.0579215145111084,0.026304073175108987,100,1.0,2025-10-13 12:34:25
No Sentence-Name Edges,Ablated: Connections between sentences and named entities,sbert,0.3,True,False,True,0.313002093319763,0.10554616194447734,0.18753183408546556,0.384850221043425,0.1113160039235143,0.0911018068860321,0.08601216708767297,0.15574878399707137,0.06113344669342041,0.02900285809252336,100,1.0,2025-10-13 12:34:25
No Name-Name Edges,Ablated: Co-occurrence relationships between named entities,sbert,0.3,True,True,False,0.313002093319763,0.10554616194447734,0.18753183408546556,0.384850221043425,0.1113160039235143,0.0911018068860321,0.08601216708767297,0.15574878399707137,0.05754586458206177,0.029429252247799745,100,1.0,2025-10-13 12:34:25
Only Sentence-Sentence,Minimal graph with only semantic similarity edges,sbert,0.3,True,False,False,0.3224645288459871,0.1110001781379238,0.1994904954807648,0.40029145513413894,0.11689942131499932,0.0923668244412102,0.08952333383402102,0.16149041118952717,0.04184557199478149,0.02067041604257947,100,1.0,2025-10-13 12:34:25
TF-IDF Baseline,Complete model with TF-IDF embeddings instead of SBERT,tfidf,0.1,True,True,True,0.28338614337407386,0.09417488839454957,0.17872955154413567,0.35249059472334054,0.10908159669657602,0.08513240735650326,0.08586219357972405,0.1529375261138372,0.03249597787857056,0.016246454989100302,100,1.0,2025-10-13 12:34:25
BOW Baseline,Complete model with Bag-of-Words embeddings,bow,0.1,True,True,True,0.30281243286725157,0.10126806143168246,0.183624684483597,0.37298077493424936,0.11285760717329046,0.08718877609496484,0.08340227510534895,0.15442997673000253,0.032358906269073485,0.015099500540003682,100,1.0,2025-10-13 12:34:25
Only Name Relationships,Graph based solely on named entity relationships,sbert,0.3,False,True,True,0.23687159559379356,0.061782949268701676,0.14572015181533912,0.2891268365409402,0.11333381685351207,0.07526885243135531,0.08263755868081053,0.15134147134888556,0.056070504188537595,0.026993441239237494,100,1.0,2025-10-13 12:34:25
