sim_threshold,sent_name_weight,name_name_weight,avg_rouge1,avg_rouge2,avg_rougeL,avg_rouge_l2,avg_time,n_articles
0.8,0.0,0.4,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.055200748443603516,50
0.8,0.0,0.2,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.0555405855178833,50
0.8,0.0,1.0,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.05649758815765381,50
0.8,0.0,0.8,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.05501319885253906,50
0.8,0.0,0.6000000000000001,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.054457173347473145,50
0.8,0.0,1.2000000000000002,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.055097041130065916,50
0.8,0.0,1.8,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.05596014976501465,50
0.8,0.0,1.6,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.05506232261657715,50
0.8,0.0,1.4000000000000001,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.05441907405853272,50
0.8,0.0,2.0,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.054609093666076663,50
0.8,0.0,0.0,0.3767929405865356,0.15707899989816798,0.23509585408600078,0.47738147906940576,0.052320942878723145,50
0.9,0.0,1.8,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.05496128082275391,50
0.9,0.0,0.6000000000000001,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.054574689865112304,50
0.9,0.0,2.0,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.05496036529541016,50
0.9,0.0,1.2000000000000002,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.053917131423950194,50
0.9,0.0,1.0,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.05405771732330322,50
0.9,0.0,1.4000000000000001,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.0546373176574707,50
0.9,0.0,0.8,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.05428071022033691,50
0.9,0.0,0.2,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.054785723686218264,50
0.9,0.0,0.4,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.05416767120361328,50
0.9,0.0,0.0,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.05258751392364502,50
0.9,0.0,1.6,0.375344650227603,0.15493640714322132,0.2370950586804566,0.4761735600004545,0.05579689979553223,50
0.6,0.0,0.8,0.34633981103658895,0.1324289116921489,0.22681659327105297,0.44038799302379544,0.05460022449493408,50
0.6,0.0,1.8,0.34633981103658895,0.1324289116921489,0.22681659327105297,0.44038799302379544,0.0577258825302124,50
0.6,0.0,2.0,0.34633981103658895,0.1324289116921489,0.22681659327105297,0.44038799302379544,0.05555885314941406,50
0.6,0.0,1.0,0.34633981103658895,0.1324289116921489,0.22681659327105297,0.44038799302379544,0.058724288940429685,50
0.6,0.0,0.2,0.34633981103658895,0.1324289116921489,0.22681659327105297,0.44038799302379544,0.05488631725311279,50
0.6,0.0,0.4,0.34633981103658895,0.1324289116921489,0.22681659327105297,0.44038799302379544,0.05481544017791748,50
0.6,0.0,0.6000000000000001,0.34633981103658895,0.1324289116921489,0.22681659327105297,0.44038799302379544,0.05480131149291992,50
0.6,0.0,1.6,0.34633981103658895,0.1324289116921489,0.22681659327105297,0.44038799302379544,0.05452535629272461,50
