config_name,description,embedder,sim_threshold,use_sent_sent,use_sent_name,use_name_name,avg_rouge1,avg_rouge2,avg_rougeL,avg_rouge_l2,std_rouge1,std_rouge2,std_rougeL,std_rouge_l2,avg_time,std_time,n_articles,success_rate,timestamp,sample_size,dataset
Full Model (SBERT),Complete model with all graph components using SBERT embeddings,sbert,0.3,True,True,True,0.31250071157726633,0.10981681841248422,0.1918464048213587,0.38751081643228635,0.10952901898542201,0.09146328964757347,0.08714085160480438,0.15592468023015868,0.09157166647911072,0.14193996062571532,1000,1.0,2025-10-02 18:18:30,1000,Datasets/cnn_dailymail/validation.csv
No Sentence-Sentence Edges,Ablated: Semantic similarity relationships between sentences,sbert,0.3,False,True,True,0.261595188440918,0.0738076838421161,0.15961434561301666,0.3201076759430258,0.11148160131403548,0.08628872867177312,0.08594168689615984,0.15539400764280928,0.041513237714767455,0.019065107301539125,1000,1.0,2025-10-02 18:18:30,1000,Datasets/cnn_dailymail/validation.csv
No Sentence-Name Edges,Ablated: Connections between sentences and named entities,sbert,0.3,True,False,True,0.33001720009542496,0.11600443770793399,0.20339893383370902,0.4095984150165352,0.10878695621857967,0.09235919991255856,0.08607071233303368,0.1540832171285906,0.04267445087432861,0.019475197515199542,1000,1.0,2025-10-02 18:18:30,1000,Datasets/cnn_dailymail/validation.csv
No Name-Name Edges,Ablated: Co-occurrence relationships between named entities,sbert,0.3,True,True,False,0.3020157063785961,0.10278075052528596,0.18535488801636243,0.3735804404610565,0.1041535294184797,0.08663245870337599,0.08296153031050783,0.14767266062871728,0.04229688286781311,0.018879637564243552,1000,1.0,2025-10-02 18:18:30,1000,Datasets/cnn_dailymail/validation.csv
Only Sentence-Sentence,Minimal graph with only semantic similarity edges,sbert,0.3,True,False,False,0.33001720009542496,0.11600443770793399,0.2034181646029398,0.40960961982171157,0.10878695621857967,0.09235919991255856,0.08605319173676454,0.15406903136767888,0.03466234278678894,0.017864283587154094,1000,1.0,2025-10-02 18:18:30,1000,Datasets/cnn_dailymail/validation.csv
TF-IDF Baseline,Complete model with TF-IDF embeddings instead of SBERT,tfidf,0.1,True,True,True,0.29345503287873603,0.0970800324682798,0.18107920825754723,0.3630688351365626,0.1106687358607763,0.08815467360584278,0.08670796044729616,0.15507474205094388,0.021347487211227416,0.009847643428625,1000,1.0,2025-10-02 18:18:30,1000,Datasets/cnn_dailymail/validation.csv
BOW Baseline,Complete model with Bag-of-Words embeddings,bow,0.1,True,True,True,0.29921841766673707,0.10164360277360808,0.18289015674638007,0.36949782154222194,0.10392727208048719,0.0839677815059857,0.08064864235010284,0.14539230547761495,0.020893470287323,0.009291059009022842,1000,1.0,2025-10-02 18:18:30,1000,Datasets/cnn_dailymail/validation.csv
Only Name Relationships,Graph based solely on named entity relationships,sbert,0.3,False,True,True,0.261595188440918,0.0738076838421161,0.15961434561301666,0.3201076759430258,0.11148160131403548,0.08628872867177312,0.08594168689615984,0.15539400764280928,0.044221936702728275,0.0217224037479644,1000,1.0,2025-10-02 18:18:30,1000,Datasets/cnn_dailymail/validation.csv
